acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,ang_acc_roll,ang_acc_pitch,ang_acc_yaw,ang_vel_roll,ang_vel_pitch,ang_vel_yaw,x,y,z,roll,pitch,yaw,u1,u2,u3,x1,x2,x3,x4,x5,x6
0.0,0.0,0.04458576440811157,1.6835174560546875,-0.6187799572944641,0.11413358151912689,0.02587065100669861,0.0712510198354721,0.0,-0.005364786833524704,-0.0077386777848005295,0.0,22.95315933227539,-8.363748550415039,-29.696229934692383,-0.2056884467601776,-0.034868109971284866,-19.9553279876709,-6.8489768505096436,-6.8489768505096436,1.2677923291921616,0.1445053666830063,0.11413358151912689,-0.2056884467601776,-0.005364786833524704,-0.034868109971284866,-0.0077386777848005295
0.0,0.0,0.044067203998565674,1.6835174560546875,-0.618779182434082,0.11435391753911972,0.02665352076292038,0.07340759038925171,0.0,-0.005231519229710102,-0.007371639832854271,0.0,22.961576461791992,-8.366843223571777,-29.69565773010254,-0.2063903659582138,-0.037395279854536057,-19.955198287963867,-6.84395706653595,-6.84395706653595,1.3737421035766602,0.14512795209884644,0.11435391753911972,-0.2063903659582138,-0.005231519229710102,-0.037395279854536057,-0.007371639832854271
0.0,0.0,0.04357248544692993,1.6835174560546875,-0.6187784075737,0.11457177996635437,0.027406401932239532,0.07548127323389053,0.0,-0.005094487220048904,-0.006994233466684818,0.0,22.969995498657227,-8.369937896728516,-29.695087432861328,-0.20706172287464142,-0.03980633616447449,-19.955066680908203,-6.8389763832092285,-6.8389763832092285,1.4755938351154327,0.1457505226135254,0.11457177996635437,-0.20706172287464142,-0.005094487220048904,-0.03980633616447449,-0.006994233466684818
0.0,0.0,0.04309117794036865,1.6835174560546875,-0.6187776327133179,0.11478723585605621,0.028126128017902374,0.07746424525976181,0.0,-0.0049538565799593925,-0.006606912240386009,0.0,22.978412628173828,-8.373031616210938,-29.69451332092285,-0.20776362717151642,-0.04209444671869278,-19.954946517944336,-6.833995819091797,-6.833995819091797,1.572964996099472,0.14637064933776855,0.11478723585605621,-0.20776362717151642,-0.0049538565799593925,-0.04209444671869278,-0.006606912240386009
0.0,0.0,0.042632222175598145,1.6835174560546875,-0.6187768578529358,0.1150003969669342,0.02881009131669998,0.07934868335723877,0.0,-0.004809806123375893,-0.006210168823599815,0.0,22.98682975769043,-8.376126289367676,-29.693937301635742,-0.20843505859375,-0.04427327588200569,-19.95482063293457,-6.829034805297852,-6.829034805297852,1.6654729843139648,0.1469932198524475,0.1150003969669342,-0.20843505859375,-0.004809806123375893,-0.04427327588200569,-0.006210168823599815
0.0,0.0,0.04219859838485718,1.6835174560546875,-0.6187761425971985,0.11521138995885849,0.029461272060871124,0.08114241063594818,0.0,-0.004662499763071537,-0.0058044567704200745,0.0,22.995248794555664,-8.379220962524414,-29.693361282348633,-0.209136962890625,-0.04632234200835228,-19.954694747924805,-6.82405424118042,-6.82405424118042,1.7535004019737244,0.14761580526828766,0.11521138995885849,-0.209136962890625,-0.004662499763071537,-0.04632234200835228,-0.0058044567704200745
0.0,0.0,0.04178285598754883,1.6835174560546875,-0.6187753677368164,0.11542030423879623,0.03007538616657257,0.08283425122499466,0.0,-0.004512122832238674,-0.005390285514295101,0.0,23.003665924072266,-8.382315635681152,-29.692785263061523,-0.2098083347082138,-0.048234790563583374,-19.95456314086914,-6.819073557853699,-6.819073557853699,1.8365011513233185,0.14822860062122345,0.11542030423879623,-0.2098083347082138,-0.004512122832238674,-0.048234790563583374,-0.005390285514295101
0.0,0.0,0.04139244556427002,1.6835174560546875,-0.6187745928764343,0.11562726646661758,0.030649639666080475,0.08441675454378128,0.0,-0.004358874633908272,-0.004968201741576195,0.0,23.0120849609375,-8.38541030883789,-29.692209243774414,-0.2105102390050888,-0.05004478991031647,-19.95444679260254,-6.814171195030212,-6.814171195030212,1.9140920341014862,0.14884385466575623,0.11562726646661758,-0.2105102390050888,-0.004358874633908272,-0.05004478991031647,-0.004968201741576195
0.0,0.0,0.0410228967666626,1.6835174560546875,-0.6187738180160522,0.1158323809504509,0.03119204193353653,0.08591096848249435,0.0,-0.004202914424240589,-0.004538646899163723,0.0,23.0205020904541,-8.388503074645996,-29.691627502441406,-0.2111816108226776,-0.0517045259475708,-19.954317092895508,-6.80924916267395,-6.80924916267395,1.987311601638794,0.1494590938091278,0.1158323809504509,-0.2111816108226776,-0.004202914424240589,-0.0517045259475708,-0.004538646899163723
0.0,0.0,0.0406801700592041,1.6835174560546875,-0.6187730431556702,0.11603578180074692,0.031692907214164734,0.0872911885380745,0.0,-0.0040444498881697655,-0.0041021909564733505,0.0,23.028921127319336,-8.391596794128418,-29.6910457611084,-0.2118835300207138,-0.053241316229104996,-19.954185485839844,-6.8043272495269775,-6.8043272495269775,2.0549031496047974,0.1500718891620636,0.11603578180074692,-0.2118835300207138,-0.0040444498881697655,-0.053241316229104996,-0.0041021909564733505
0.0,0.0,0.04035979509353638,1.6835174560546875,-0.6187723278999329,0.1162375807762146,0.03215614706277847,0.0885675698518753,0.0,-0.003883669152855873,-0.0036593531258404255,0.0,23.037338256835938,-8.394689559936523,-29.690465927124023,-0.21255488693714142,-0.05463467165827751,-19.954071044921875,-6.799424886703491,-6.799424886703491,2.1173583269119263,0.15068469941616058,0.1162375807762146,-0.21255488693714142,-0.003883669152855873,-0.05463467165827751,-0.0036593531258404255
0.0,0.0,0.04006624221801758,1.6835174560546875,-0.6187715530395508,0.11643791198730469,0.03257840871810913,0.08973125368356705,0.0,-0.0037207771092653275,-0.0032106968574225903,0.0,23.04575538635254,-8.397783279418945,-29.689884185791016,-0.2132568061351776,-0.055898260325193405,-19.95394515991211,-6.794522404670715,-6.794522404670715,2.1742400228977203,0.15129020810127258,0.11643791198730469,-0.2132568061351776,-0.0037207771092653275,-0.055898260325193405,-0.0032106968574225903
0.0,0.0,0.03979504108428955,1.6835174560546875,-0.6187707781791687,0.11663688719272614,0.032961927354335785,0.09078802168369293,0.0,-0.0035559674724936485,-0.002756756730377674,0.0,23.054174423217773,-8.40087604522705,-29.68930435180664,-0.21395868062973022,-0.057025231420993805,-19.953826904296875,-6.789678335189819,-6.789678335189819,2.225821703672409,0.1518956869840622,0.11663688719272614,-0.21395868062973022,-0.0035559674724936485,-0.057025231420993805,-0.002756756730377674
