acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,ang_acc_roll,ang_acc_pitch,ang_acc_yaw,ang_vel_roll,ang_vel_pitch,ang_vel_yaw,x,y,z,roll,pitch,yaw,u1,u2,u3,x1,x2,x3,x4,x5,x6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.799999237060547,0.0,0.0,-19.999988555908203,0.0,0.0,0.0,2.0400002002716064,0.0,0.0,0.0,0.0,0.0
3.758770704269409,-1.368079662322998,0.0,0.018793852999806404,-0.006840398535132408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.799999237060547,0.0,0.0,-19.999988555908203,0.0,0.0,0.0,2.0400025844573975,0.0,0.0,0.0,0.0,0.0
3.758770704269409,-1.368079662322998,0.0,0.03758770599961281,-0.013680797070264816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.799999237060547,0.0,0.0,-19.999988555908203,0.0,0.0,0.0,2.0400002002716064,0.0,0.0,0.0,0.0,0.0
3.758770227432251,-1.3680801391601562,0.0,0.05638155713677406,-0.020521197468042374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.799999237060547,0.0,0.0,-19.999988555908203,0.0,0.0,0.0,2.0400025844573975,0.0,0.0,0.0,0.0,0.0
3.7587695121765137,-1.3680801391601562,0.0,0.07517540454864502,-0.02736159786581993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.799999237060547,0.0,0.0,-19.999988555908203,0.0,0.0,0.0,2.0400002002716064,0.0,0.0,0.0,0.0,0.0
3.758770227432251,-1.3680801391601562,0.0,0.09396925568580627,-0.03420199826359749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001292077242396772,0.0,-27.799999237060547,0.0,0.0,-19.999988555908203,0.0,0.0,0.0,2.0400025844573975,0.0,0.0,0.0,0.0,0.0
3.758770227432251,-1.3680801391601562,0.0,0.11276310682296753,-0.041042398661375046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018324005650356412,0.0,-27.799999237060547,0.0,0.0,-19.999988555908203,0.0,0.0,0.0,2.0400002002716064,0.0,0.0,0.0,0.0,0.0
3.758770227432251,-1.3680801391601562,0.0,0.13155695796012878,-0.0478827990591526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024666928220540285,0.0,-27.799999237060547,0.0,0.0,-19.999988555908203,0.0,0.0,0.0,2.0400025844573975,0.0,0.0,0.0,0.0,0.0
3.758770227432251,-1.3680801391601562,0.0,0.15035080909729004,-0.05472319945693016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003194954711943865,-0.001162810600362718,-27.799999237060547,0.0,0.0,-19.999988555908203,0.0,0.0,0.0,2.0400025844573975,0.0,0.0,0.0,0.0,0.0
3.758770227432251,-1.3680801391601562,0.0,0.1691446602344513,-0.06156359985470772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004017185419797897,-0.0014620780711993575,-27.799999237060547,0.0,0.0,-19.999988555908203,0.0,0.0,0.0,2.0400002002716064,0.0,0.0,0.0,0.0,0.0
3.7587733268737793,-1.3680808544158936,0.0,0.18793852627277374,-0.06840400397777557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004933386109769344,-0.0017955475486814976,-27.799999237060547,0.0,0.0,-19.999988555908203,0.0,0.0,0.0,2.0400025844573975,0.0,0.0,0.0,0.0,0.0
3.7587761878967285,-1.3680801391601562,0.0,0.20673240721225739,-0.07524440437555313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005943555850535631,-0.0021632190328091383,-27.799999237060547,0.0,0.0,-19.999988555908203,0.0,0.0,0.0,2.0400002002716064,0.0,0.0,0.0,0.0,0.0
3.7587733268737793,-1.368078589439392,0.0,0.22552627325057983,-0.08208479732275009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007047694642096758,-0.0025650926399976015,-27.799999237060547,0.0,0.0,-19.999988555908203,0.0,0.0,0.0,2.0400025844573975,0.0,0.0,0.0,0.0,0.0
3.7587733268737793,-1.3680801391601562,0.0,0.24432013928890228,-0.08892519772052765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008245802484452724,-0.003001168370246887,-27.799999237060547,0.0,0.0,-19.999988555908203,0.0,0.0,0.0,2.0400002002716064,0.0,0.0,0.0,0.0,0.0
3.7587733268737793,-1.3680801391601562,0.0,0.26311400532722473,-0.0957655981183052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00953788124024868,-0.003471445757895708,-27.799999237060547,0.0,0.0,-19.999988555908203,0.0,0.0,0.0,2.0400002002716064,0.0,0.0,0.0,0.0,0.0
3.7587761878967285,-1.3680801391601562,0.0,0.2819078862667084,-0.10260599851608276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010923927649855614,-0.003975925035774708,-27.799999237060547,0.0,0.0,-19.999988555908203,0.0,0.0,0.0,2.0400025844573975,0.0,0.0,0.0,0.0,0.0
3.758770227432251,-1.3680801391601562,0.0,0.30070173740386963,-0.10944639891386032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012403943575918674,-0.004514606669545174,-27.799999237060547,0.0,0.0,-19.999988555908203,0.0,0.0,0.0,2.0400002002716064,0.0,0.0,0.0,0.0,0.0
